,Dataset,Charset,Test,Sp1,Sp2,pvalue
251,Cognato_2001,ef1a_1stpos,MPTIS,Am1,Pho1,-42
252,Cognato_2001,ef1a_1stpos,MPTS,Am1,Pk1,-42
253,Cognato_2001,ef1a_1stpos,MPTMS,Am1,Pk1,0.14095722675230538
254,Cognato_2001,ef1a_1stpos,MPTIS,Am1,Pk1,-42
255,Cognato_2001,ef1a_1stpos,MPTS,Av5,Bon2,-42
256,Cognato_2001,ef1a_1stpos,MPTMS,Av5,Bon2,0.39162517627108895
257,Cognato_2001,ef1a_1stpos,MPTIS,Av5,Bon2,-42
258,Cognato_2001,ef1a_1stpos,MPTS,Av5,Bor2,-42
259,Cognato_2001,ef1a_1stpos,MPTMS,Av5,Bor2,-42
260,Cognato_2001,ef1a_1stpos,MPTIS,Av5,Bor2,-42
261,Cognato_2001,ef1a_1stpos,MPTS,Av5,Cala2,-42
262,Cognato_2001,ef1a_1stpos,MPTMS,Av5,Cala2,0.39162517627108895
263,Cognato_2001,ef1a_1stpos,MPTIS,Av5,Cala2,-42
264,Cognato_2001,ef1a_1stpos,MPTS,Av5,Cali1,-42
265,Cognato_2001,ef1a_1stpos,MPTMS,Av5,Cali1,0.5724067044708798
266,Cognato_2001,ef1a_1stpos,MPTIS,Av5,Cali1,-42
267,Cognato_2001,ef1a_1stpos,MPTS,Av5,Ce3,-42
268,Cognato_2001,ef1a_1stpos,MPTMS,Av5,Ce3,-42
269,Cognato_2001,ef1a_1stpos,MPTIS,Av5,Ce3,-42
270,Cognato_2001,ef1a_1stpos,MPTS,Av5,Co4,-42
271,Cognato_2001,ef1a_1stpos,MPTMS,Av5,Co4,-42
272,Cognato_2001,ef1a_1stpos,MPTIS,Av5,Co4,-42
273,Cognato_2001,ef1a_1stpos,MPTS,Av5,Con3,-42
274,Cognato_2001,ef1a_1stpos,MPTMS,Av5,Con3,0.13967348724103157
275,Cognato_2001,ef1a_1stpos,MPTIS,Av5,Con3,-42
276,Cognato_2001,ef1a_1stpos,MPTS,Av5,Cr2,-42
277,Cognato_2001,ef1a_1stpos,MPTMS,Av5,Cr2,-42
278,Cognato_2001,ef1a_1stpos,MPTIS,Av5,Cr2,-42
279,Cognato_2001,ef1a_1stpos,MPTS,Av5,Du3,-42
280,Cognato_2001,ef1a_1stpos,MPTMS,Av5,Du3,0.34303014613824234
281,Cognato_2001,ef1a_1stpos,MPTIS,Av5,Du3,-42
282,Cognato_2001,ef1a_1stpos,MPTS,Av5,Em1,-42
283,Cognato_2001,ef1a_1stpos,MPTMS,Av5,Em1,0.5061652190939085
284,Cognato_2001,ef1a_1stpos,MPTIS,Av5,Em1,-42
285,Cognato_2001,ef1a_1stpos,MPTS,Av5,Gr2,-42
286,Cognato_2001,ef1a_1stpos,MPTMS,Av5,Gr2,-42
287,Cognato_2001,ef1a_1stpos,MPTIS,Av5,Gr2,-42
288,Cognato_2001,ef1a_1stpos,MPTS,Av5,Ho5,-42
289,Cognato_2001,ef1a_1stpos,MPTMS,Av5,Ho5,-42
290,Cognato_2001,ef1a_1stpos,MPTIS,Av5,Ho5,-42
291,Cognato_2001,ef1a_1stpos,MPTS,Av5,Hu2,-42
292,Cognato_2001,ef1a_1stpos,MPTMS,Av5,Hu2,-42
293,Cognato_2001,ef1a_1stpos,MPTIS,Av5,Hu2,-42
294,Cognato_2001,ef1a_1stpos,MPTS,Av5,Int7,-42
295,Cognato_2001,ef1a_1stpos,MPTMS,Av5,Int7,-42
296,Cognato_2001,ef1a_1stpos,MPTIS,Av5,Int7,-42
297,Cognato_2001,ef1a_1stpos,MPTS,Av5,Knu1,-42
298,Cognato_2001,ef1a_1stpos,MPTMS,Av5,Knu1,0.7212333746277604
299,Cognato_2001,ef1a_1stpos,MPTIS,Av5,Knu1,-42
300,Cognato_2001,ef1a_1stpos,MPTS,Av5,Lat3,-42
301,Cognato_2001,ef1a_1stpos,MPTMS,Av5,Lat3,0.6013769938267146
302,Cognato_2001,ef1a_1stpos,MPTIS,Av5,Lat3,-42
303,Cognato_2001,ef1a_1stpos,MPTS,Av5,Le3,-42
304,Cognato_2001,ef1a_1stpos,MPTMS,Av5,Le3,-42
305,Cognato_2001,ef1a_1stpos,MPTIS,Av5,Le3,-42
306,Cognato_2001,ef1a_1stpos,MPTS,Av5,Lo3,-42
307,Cognato_2001,ef1a_1stpos,MPTMS,Av5,Lo3,-42
308,Cognato_2001,ef1a_1stpos,MPTIS,Av5,Lo3,-42
309,Cognato_2001,ef1a_1stpos,MPTS,Av5,Ma1,-42
310,Cognato_2001,ef1a_1stpos,MPTMS,Av5,Ma1,-42
311,Cognato_2001,ef1a_1stpos,MPTIS,Av5,Ma1,-42
312,Cognato_2001,ef1a_1stpos,MPTS,Av5,Mo1,-42
313,Cognato_2001,ef1a_1stpos,MPTMS,Av5,Mo1,-42
